date,new_cases_smoothed,reproduction_rate,new_tests_smoothed_per_thousand,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0
2020-01-29,0.714,0,0,0,0,0,0
2020-01-30,0.714,0,0,0,0,0,0
2020-01-31,0.857,0,0,0,0,0,0
2020-02-01,0.857,0,0,0,0,0,0
2020-02-02,0.429,0,0,0,0,0,5.56
2020-02-03,0.857,0,0,0,0,0,5.56
2020-02-04,0.857,0,0,0,0,0,5.56
2020-02-05,0.714,0,0,0,0,0,5.56
2020-02-06,0.857,0,0,0,0,0,5.56
2020-02-07,0.571,0,0,0,0,0,5.56
2020-02-08,0.571,0,0,0,0,0,5.56
2020-02-09,0.571,0,0,0,0,0,5.56
2020-02-10,0.143,0,0,0,0,0,5.56
2020-02-11,0.286,0,0,0,0,0,5.56
2020-02-12,0.286,0,0,0,0,0,5.56
2020-02-13,0.286,0,0,0,0,0,5.56
2020-02-14,0.286,0,0,0,0,0,5.56
2020-02-15,0.286,0,0,0,0,0,5.56
2020-02-16,0.286,0,0,0,0,0,5.56
2020-02-17,0.286,0,0,0,0,0,5.56
2020-02-18,0.143,0,0,0,0,0,5.56
2020-02-19,0.143,0,0,0,0,0,5.56
2020-02-20,0,0,0,0,0,0,5.56
2020-02-21,0.286,0,0,0,0,0,5.56
2020-02-22,0.286,0,0,0,0,0,5.56
2020-02-23,0.286,0,0,0,0,0,5.56
2020-02-24,0.286,0,0,0,0,0,5.56
2020-02-25,0.286,0,0,0,0,0,5.56
2020-02-26,0.286,0,0,0,0,0,5.56
2020-02-27,0.429,0,0,0,0,0,5.56
2020-02-28,0.143,0,0,0,0,0,5.56
2020-02-29,1.286,0,0,0,0,0,5.56
2020-03-01,2.286,0,0,0,0,0,8.33
2020-03-02,5.571,0,0,0,0,0,11.11
2020-03-03,8.286,0,0,0,0,0,11.11
2020-03-04,13,0,0,0,0,0,11.11
2020-03-05,23.857,3.62,0,0,0,0,20.37
2020-03-06,31.429,3.56,0,0,0,0,20.37
2020-03-07,54,3.58,0,0,0,0,20.37
2020-03-08,69.571,3.46,0.003,0,0,0,20.37
2020-03-09,77,3.31,0.004,0,0,0,20.37
2020-03-10,101.143,3.36,0.006,0,0,0,20.37
2020-03-11,148.571,3.42,0.007,0,0,0,21.76
2020-03-12,200.286,3.4,0.011,0,0,0,30.09
2020-03-13,283.143,3.42,0.015,0,0,0,30.09
2020-03-14,367.857,3.37,0.02,0,0,0,35.65
2020-03-15,384.714,3.4,0.025,0,0,0,41.2
